FT	ID	AT	WT	ST
79	249	58	13	8
78	235	54	11	13
76	277	64	0	12
75	256	59	11	5
74	142	38	30	6
73	145	39	28	6
72	167	42	19	11
70	180	46	20	4
67	234	54	11	2
67	194	47	12	8
65	210	51	12	2
64	158	41	11	12
63	172	43	13	7
61	137	36	13	12
60	163	42	12	6
60	179	45	12	3
58	184	46	3	9
58	214	51	1	6
56	147	39	12	5
55	135	36	12	7
55	181	46	1	8
51	116	27	17	7
49	117	27	11	11
49	141	38	4	7
48	174	43	3	2
46	150	39	2	5
44	109	25	13	6
43	98	20	11	12
41	110	25	10	6
40	100	23	10	7
40	104	23	9	8
39	52	13	12	14
38	95	20	11	7
38	108	24	10	4
37	94	20	10	7
33	61	14	12	7
33	85	20	9	4
33	55	13	13	7
31	50	13	12	6
25	40	12	9	4
25	96	20	0	5
24	48	13	2	9
24	70	18	1	5
22	36	12	0	10
21	68	17	0	4
20	22	7	0	13
20	38	12	5	3
18	43	12	0	6
16	35	12	0	4
16	28	8	0	8
16	45	13	0	3
16	4	2	0	14
16	15	5	0	11
15	37	12	0	3
14	44	12	0	2
........................................................
........................................................
 Region C:
Orders: 0 [Norm:0, Froz:0, VIP:0]
MotorC: 12 [Norm:6, Froz:3, VIP:3]
Average Wait = 27.4261,	 Avg Serv = 7.41739




FT	ID	AT	WT	ST
176	479	102	69	5
173	418	87	79	7
160	406	84	65	11
156	383	81	62	13
154	388	82	62	10
139	376	79	57	3
137	308	69	58	10
135	375	79	48	8
131	478	102	15	14
127	491	105	12	10
121	488	103	12	6
121	245	56	51	14
118	470	100	15	3
118	465	100	8	10
117	469	100	9	8
116	485	103	11	2
113	423	88	12	13
112	306	69	38	5
112	381	79	22	11
112	420	87	12	13
112	462	100	8	4
111	295	68	38	5
110	390	82	25	3
109	400	84	21	4
109	477	101	3	5
108	356	78	18	12
108	414	86	11	11
106	436	93	12	1
104	330	76	25	3
101	364	78	18	5
100	354	76	18	6
100	402	84	11	5
98	340	76	13	9
97	335	76	14	7
97	397	83	8	6
97	382	79	12	6
91	331	76	12	3
91	327	74	12	5
90	315	71	11	8
90	355	77	1	12
