FT	ID	AT	WT	ST
55	123	32	19	4
55	145	37	13	5
56	149	38	12	6
57	176	43	11	3
57	211	52	0	5
57	185	45	0	12
58	226	57	0	1
58	167	41	12	5
58	178	44	8	6
58	209	50	2	6
58	153	39	13	6
58	92	27	24	7
58	197	47	3	8
58	202	48	1	9
59	180	44	13	2
59	168	41	16	2
59	177	44	11	4
59	147	37	17	5
59	207	50	1	8
60	198	48	10	2
60	220	57	0	3
60	213	53	2	5
60	215	55	0	5
60	217	55	0	5
61	221	57	0	4
61	163	41	15	5
62	174	42	18	2
62	191	47	12	3
64	206	50	11	3
65	212	53	8	4
65	238	59	0	6
65	193	47	11	7
65	155	40	14	11
66	195	47	15	4
66	219	56	6	4
66	216	55	7	4
66	237	59	0	7
66	222	57	0	9
66	179	44	12	10
66	148	37	17	12
67	247	65	0	2
67	248	65	0	2
67	227	57	8	2
67	244	62	2	3
67	186	45	17	5
68	232	57	9	2
68	164	41	24	3
68	235	58	7	3
68	243	62	0	6
68	201	48	12	8
69	205	49	17	3
69	225	57	8	4
69	228	57	8	4
69	208	50	10	9
70	245	62	2	6
70	134	33	18	19
71	236	59	10	2
71	250	66	0	5
73	241	60	11	2
73	246	64	7	2
73	224	57	10	6
73	214	53	14	6
73	203	49	17	7
73	229	57	9	7
74	249	66	4	4
74	210	51	0	23
75	218	56	17	2
76	240	60	15	1
76	253	67	5	4
78	223	57	17	4
78	252	67	6	5
79	242	62	0	17
81	233	57	17	7
85	251	67	11	7



........................................................
........................................................
Region A:
	Orders: 53 [Norm: 15, Froz: 6, VIP: 32]
	MotorC: 11 [Norm: 3, Froz: 5, VIP: 3]
	Average Wait = 6.9434,	 Avg Serv = 6.28302

........................................................
........................................................
Region B:
	Orders: 57 [Norm: 24, Froz: 18, VIP: 15]
	MotorC: 12 [Norm: 5, Froz: 3, VIP: 4]
	Average Wait = 2.15789,	 Avg Serv = 5.07018

........................................................
........................................................
Region C:
	Orders: 53 [Norm: 29, Froz: 9, VIP: 15]
	MotorC: 10 [Norm: 3, Froz: 3, VIP: 4]
	Average Wait = 4.69811,	 Avg Serv = 4.45283

........................................................
........................................................
Region D:
	Orders: 63 [Norm: 28, Froz: 10, VIP: 25]
	MotorC: 12 [Norm: 3, Froz: 5, VIP: 4]
	Average Wait = 4.30159,	 Avg Serv = 4.98413

........................................................
........................................................
Whole Restaurant:
	Orders: 226 [Norm: 96, Froz: 43, VIP: 87]
	MotorC: 45 [Norm: 14, Froz: 16, VIP: 15]
	Average Wait = 4.47345,	 Avg Serv = 5.18584

