FT	ID	AT	WT	ST
4	7	3	0	1
4	5	2	0	2
5	1	1	0	4
6	4	2	0	4
6	6	2	0	4
7	9	5	0	2
7	3	2	0	5
8	15	6	0	2
9	12	6	0	3
9	8	3	0	6
10	17	8	0	2
12	20	10	0	2
13	22	10	0	3
13	18	9	0	4
13	11	5	0	8
14	14	6	0	8
14	13	6	0	8
14	10	5	0	9
16	24	11	0	5
16	26	11	0	5
16	19	9	0	7
17	33	16	0	1
17	29	15	0	2
17	21	10	0	7
18	25	11	0	7
18	16	8	0	10
20	35	17	0	3
20	28	15	0	5
21	42	19	0	2
21	50	19	0	2
21	34	17	0	4
21	32	15	0	6
21	23	11	0	10
22	48	19	0	3
22	36	18	0	4
22	38	18	0	4
22	30	15	0	7
23	59	20	0	3
23	49	19	0	4
24	51	19	0	5
24	40	19	0	5
24	44	19	0	5
25	63	21	0	4
25	56	20	0	5
25	46	19	0	6
25	2	1	0	24
26	66	22	1	3
26	60	21	0	5
27	61	21	2	4
27	65	22	0	5
27	62	21	0	6
27	57	20	0	7
27	41	19	1	7
27	55	20	0	7
27	39	19	0	8
28	64	21	5	2
28	72	24	1	3
28	70	24	0	4
29	101	27	0	2
29	69	24	0	5
29	71	24	0	5
29	67	23	0	6
29	53	19	0	10
29	31	15	0	14
30	100	27	1	2
30	37	18	0	12
31	107	29	0	2
31	104	27	0	4
31	75	25	0	6
32	118	30	0	2
32	115	30	0	2
32	97	27	0	5
32	87	27	0	5
32	68	24	0	8
33	91	27	5	1
33	111	30	0	3
33	95	27	1	5
33	54	20	5	8
34	122	32	0	2
34	90	27	2	5
34	74	25	3	6
34	77	26	0	8
35	126	32	1	2
35	109	29	3	3
35	116	30	2	3
35	105	29	2	4
35	89	27	3	5
35	43	19	0	16
35	27	11	0	24
36	140	34	1	1
36	112	30	2	4
36	121	32	0	4
36	85	27	5	4
37	73	25	11	1
37	78	26	10	1
37	81	26	8	3
37	110	30	0	7
38	76	25	11	2
39	137	34	2	3
39	88	27	6	6
40	96	27	9	4
40	136	33	2	5
40	117	30	0	10
41	159	40	0	1
41	144	36	2	3
41	143	35	2	4
41	138	34	2	5
41	86	27	9	5
41	124	32	3	6
41	132	33	1	7
42	98	27	7	8
42	108	29	4	9
43	157	40	1	2
43	79	26	13	4
43	151	39	0	4
43	130	33	2	8
44	152	39	2	3
44	83	26	14	4
44	141	34	5	5
45	184	44	0	1
45	183	44	0	1
45	172	41	0	4
45	165	41	0	4
45	80	26	14	5
47	187	45	1	1
47	181	44	0	3
47	175	42	1	4
47	103	27	16	4
47	120	31	12	4
47	173	42	0	5
47	170	41	1	5
47	150	38	2	7
48	171	41	1	6
49	190	45	2	2
49	114	30	16	3
49	169	41	0	8
50	133	33	16	1
50	192	47	0	3
50	182	44	2	4
50	154	39	6	5
50	52	19	4	27
51	204	49	0	2
51	127	32	16	3
51	158	40	7	4
51	128	33	11	7
52	160	40	9	3
52	200	48	0	4
52	199	48	0	4
52	84	26	17	9
53	142	34	14	5
54	162	41	12	1
55	166	41	13	1
