FT	ID	AT	WT	ST
4	1	3	0	1
8	2	4	0	4
11	14	9	0	2
11	7	7	0	4
11	9	7	0	4
12	18	9	0	3
12	3	5	0	7
13	13	9	0	4
13	12	8	0	5
14	20	10	0	4
14	22	10	0	4
14	15	9	0	5
14	8	7	0	7
15	6	6	0	9
16	5	6	0	10
16	4	6	0	10
17	17	9	4	4
17	19	9	1	7
17	16	9	0	8
18	21	10	0	8
18	11	8	0	10
19	24	11	0	8
21	27	16	0	5
22	32	19	0	3
22	23	10	7	5
22	30	16	0	6
22	25	16	0	6
22	26	16	0	6
22	10	8	0	14
24	48	22	0	2
24	39	21	0	3
24	28	16	4	4
25	46	22	0	3
26	47	22	0	4
27	49	22	0	5
27	40	21	0	6
29	60	24	3	2
29	69	25	0	4
29	59	24	0	5
30	34	19	10	1
30	67	24	3	3
30	61	24	2	4
30	57	24	0	6
30	43	21	0	9
30	36	20	0	10
31	76	30	0	1
31	31	18	10	3
31	33	19	0	12
32	70	25	4	3
32	68	24	2	6
32	63	24	1	7
32	50	22	0	10
33	81	31	0	2
33	78	30	0	3
35	79	31	2	2
35	74	29	0	6
35	73	28	0	7
36	41	21	13	2
36	75	30	0	6
36	54	24	0	12
37	77	30	5	2
37	86	33	0	4
37	66	24	3	10
37	65	24	0	13
38	62	24	10	4
38	82	33	0	5
38	84	33	0	5
38	29	16	11	11
38	38	21	0	17
39	85	33	0	6
39	51	22	0	17
40	64	24	4	12
40	44	22	0	18
41	89	35	4	2
41	91	36	0	5
41	35	20	7	14
41	56	24	0	17
41	42	21	0	20
42	98	41	0	1
42	88	35	1	6
44	52	22	18	4
44	53	23	16	5
45	80	31	13	1
45	95	41	0	4
45	92	38	0	7
46	94	41	0	5
46	93	38	0	8
46	71	27	3	16
47	90	35	9	3
47	72	27	12	8
48	55	24	16	8
49	102	44	0	5
50	96	41	7	2
50	104	47	0	3
51	107	49	0	2
51	97	41	0	10
52	108	50	0	2
53	109	50	0	3
54	101	44	9	1
54	99	42	7	5
55	112	50	1	4
55	114	51	0	4
55	106	49	0	6
55	105	49	0	6
56	120	54	0	2
57	123	54	0	3
57	116	53	0	4
57	111	50	0	7
58	118	53	2	3
58	117	53	0	5
58	110	50	0	8
59	103	45	6	8
59	87	34	16	9
60	134	56	0	4
60	125	54	0	6
61	119	53	7	1
61	115	52	0	9
61	100	42	10	9
62	131	56	1	5
62	127	55	0	7
62	121	54	0	8
63	132	56	0	7
63	128	56	0	7
63	126	54	0	9
64	136	58	3	3
64	135	57	0	7
65	124	54	7	4
65	133	56	4	5
67	122	54	0	13
70	129	56	7	7
70	113	51	9	10
76	130	56	0	20



........................................................
........................................................
Region A:
	Orders: 36 [Norm: 20, Froz: 11, VIP: 5]
	MotorC: 13 [Norm: 5, Froz: 5, VIP: 3]
	Average Wait = 0.277778,	 Avg Serv = 5.77778

........................................................
........................................................
Region B:
	Orders: 45 [Norm: 17, Froz: 5, VIP: 23]
	MotorC: 11 [Norm: 5, Froz: 4, VIP: 2]
	Average Wait = 5.62222,	 Avg Serv = 6.15556

........................................................
........................................................
Region C:
	Orders: 24 [Norm: 14, Froz: 4, VIP: 6]
	MotorC: 10 [Norm: 5, Froz: 3, VIP: 2]
	Average Wait = 0.125,	 Avg Serv = 6.66667

........................................................
........................................................
Region D:
	Orders: 27 [Norm: 17, Froz: 3, VIP: 7]
	MotorC: 10 [Norm: 5, Froz: 3, VIP: 2]
	Average Wait = 1.03704,	 Avg Serv = 6.74074

........................................................
........................................................
Whole Restaurant:
	Orders: 132 [Norm: 68, Froz: 23, VIP: 41]
	MotorC: 44 [Norm: 20, Froz: 15, VIP: 9]
	Average Wait = 2.22727,	 Avg Serv = 6.26515

